i	Nodes	Mean	Max	Min	Median	Std	N
160	173	5.20888538360596	7.50619554519653	2.89098429679871	4.43222594261169	1.95973590758897	5
161	174	3.83882353522561	7.5152051448822	2.08791995048523	3.13087582588196	1.78077468382936	11
162	175	3.42474555969238	5.24606156349182	2.56691145896912	3.26594293117523	0.936742964261795	8
163	176	2.7798326164484	4.99370503425598	1.02394509315491	2.732137799263	0.822749696334185	16
164	177	2.19920500119527	2.54154658317566	1.7437756061554	2.31229281425476	0.410732605280978	3
165	178	3.86643944067114	8.6099579334259	2.05240440368652	3.14204788208008	2.12873311718483	17
166	179	3.46621203422546	4.17807769775391	2.75434637069702	3.46621203422546	1.00673007594965	2
167	180	4.72734372956412	11.3785002231598	2.52807211875916	3.44901967048645	3.06863634018555	7
168	181	3.3185469865799	5.48346972465515	1.93020296096802	3.05613207817078	1.19390244989459	10
169	182	3.58705907601577	6.80441164970398	1.27989482879639	3.10663104057312	1.7275358096101	13
170	183	3.41128295660019	4.66204857826233	2.38436913490295	3.29935705661774	0.939719523019403	4
171	184	3.71535960833232	10.2227272987366	2.60884213447571	3.3803905248642	1.69423633851955	18
172	185	3.41572512899126	7.14869546890259	2.10904860496521	2.81299257278442	1.79326847186631	7
173	186	3.23709317354056	4.33219647407532	1.72041797637939	3.10873579978943	0.816934478027886	13
174	187	2.51128276189168	2.825767993927	2.22356152534485	2.4845187664032	0.301994025257831	3
175	188	4.24082907040914	7.38634538650513	2.56136417388916	3.48210799694061	1.64455828504032	12
176	189	2.63933785756429	4.2004599571228	2.04726099967957	2.22823178768158	0.843012356368778	6
177	190	4.37466579013401	12.4421899318695	1.77413558959961	3.10292172431946	3.54194045736517	9
178	191	1.76294767856598	2.00439429283142	1.52150106430054	1.76294767856598	0.341457076483253	2
179	192	3.04952301581701	7.34463763237	1.56406354904175	2.62182855606079	1.58413626568468	12
180	193	3.96834748983383	5.94420886039734	2.91016006469727	3.50951051712036	1.41491455687391	4
181	194	4.07976907950181	7.55168128013611	2.7335901260376	3.75522446632385	1.54929722021066	13
182	195	3.105877161026	4.7486743927002	1.54549050331116	3.17333269119263	1.16823116295981	7
183	196	3.23614414532979	4.40641069412231	2.12685322761536	2.90760326385498	0.973831225609512	9
184	197	3.52207001050313	6.36611366271973	2.15248417854309	3.16783654689789	1.60767976846166	6
185	198	4.07155015071233	13.2479512691498	1.95523190498352	3.00520193576813	3.11526105634924	12
186	199	3.36182659467061	6.65021634101868	1.57775855064392	2.76762652397156	1.6377600117637	15
187	200	3.64490009678735	7.11846446990967	1.57750296592712	2.74830305576324	1.78654960375502	18
188	201	2.88489917346409	5.01139521598816	1.56972646713257	2.55691909790039	1.11257932356926	7
189	202	4.94204473495483	8.14993906021118	3.10604548454285	4.25609719753265	2.32349907305935	4
190	203	3.21451671918233	3.4777204990387	3.06089472770691	3.10493493080139	0.229002308220155	3
191	204	4.58938084329878	8.60156559944153	1.86381340026855	4.8924777507782	2.22917720312904	7
192	205	4.77892243862152	6.77813291549683	2.77971196174622	4.77892243862152	2.82731057043544	2
193	206	3.53786444664001	6.27673959732056	1.59922456741333	3.5600483417511	1.29182554710913	11
194	207	3.15309957663218	4.55101847648621	1.78504800796509	3.47270381450653	1.1158744743676	6
195	208	3.48130178451538	9.29488468170166	1.76346230506897	2.96474528312683	2.32001023599942	9
196	209	2.2308863401413	2.48593091964722	1.97584176063538	2.2308863401413	0.360687503347016	2
197	210	3.14283857345581	4.95621013641357	1.80019521713257	3.05208516120911	1.16010214201599	5
198	211	1.57035613059998	1.57035613059998	1.57035613059998	1.57035613059998	NA	1
199	212	3.02259389559428	5.02617692947388	1.66105318069458	2.72452032566071	1.28096178289445	12
